Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,,,,
1,BANKNIFTY25NOV2557700PE,175,BUY,418.95,10/29/2025 9:46,SELL,418.7,10/29/2025 9:46,-43.75,,,,
1,BANKNIFTY25NOV2558700CE,175,BUY,675.25,10/29/2025 9:46,SELL,675,10/29/2025 9:46,-43.75,Total profit =18832,,,
1,BANKNIFTY25NOV2558700PE,175,BUY,817.1,10/29/2025 9:46,SELL,816.85,10/29/2025 9:47,-43.75,investment =3lakh ,,,
1,BANKNIFTY25NOV2557700CE,175,BUY,1262.65,10/29/2025 9:46,SELL,1268.25,10/29/2025 9:47,980,open your demate accoutn click on link,,,
2,BANKNIFTY25NOV2557700PE,175,BUY,413.85,10/29/2025 9:47,SELL,413.6,10/29/2025 9:47,-43.75,,,,
2,BANKNIFTY25NOV2558700CE,175,BUY,677.2,10/29/2025 9:47,SELL,676.95,10/29/2025 9:47,-43.75,,,,
2,BANKNIFTY25NOV2557700CE,175,BUY,1268.25,10/29/2025 9:47,SELL,1270.6,10/29/2025 9:47,411.25,,,,
2,BANKNIFTY25NOV2558700PE,175,BUY,809.5,10/29/2025 9:47,SELL,812,10/29/2025 9:47,437.5,,,,
3,BANKNIFTY25NOV2557700PE,175,BUY,413.95,10/29/2025 9:47,SELL,413.7,10/29/2025 9:47,-43.75,,,,
3,BANKNIFTY25NOV2557700CE,175,BUY,1270.6,10/29/2025 9:47,SELL,1270.35,10/29/2025 9:47,-43.75,,,,
3,BANKNIFTY25NOV2558700CE,175,BUY,677,10/29/2025 9:47,SELL,676.75,10/29/2025 9:47,-43.75,,,,
3,BANKNIFTY25NOV2558700PE,175,BUY,812,10/29/2025 9:47,SELL,811.75,10/29/2025 9:47,-43.75,,,,
4,BANKNIFTY25NOV2557700PE,175,BUY,416.4,10/29/2025 9:47,SELL,420.6,10/29/2025 9:47,735,,,,
4,BANKNIFTY25NOV2558700CE,175,BUY,671.05,10/29/2025 9:47,SELL,672.2,10/29/2025 9:47,201.25,,,,
4,BANKNIFTY25NOV2558700PE,175,BUY,814.5,10/29/2025 9:47,SELL,820.25,10/29/2025 9:47,1006.25,,,,
4,BANKNIFTY25NOV2557700CE,175,BUY,1265.95,10/29/2025 9:47,SELL,1265.95,10/29/2025 9:47,0,,,,
5,BANKNIFTY25NOV2558700CE,175,BUY,672.2,10/29/2025 9:47,SELL,671.95,10/29/2025 9:47,-43.75,,,,
5,BANKNIFTY25NOV2557700CE,175,BUY,1265.95,10/29/2025 9:47,SELL,1265.7,10/29/2025 9:48,-43.75,,,,
5,BANKNIFTY25NOV2557700PE,175,BUY,423.6,10/29/2025 9:47,SELL,423.35,10/29/2025 9:47,-43.75,,,,
5,BANKNIFTY25NOV2558700PE,175,BUY,827.1,10/29/2025 9:47,SELL,826.85,10/29/2025 9:47,-43.75,,,,
6,BANKNIFTY25NOV2558600CE,175,BUY,710.85,10/29/2025 9:48,SELL,710.6,10/29/2025 9:48,-43.75,,,,
6,BANKNIFTY25NOV2557600CE,175,BUY,1336,10/29/2025 9:48,SELL,1335.75,10/29/2025 9:48,-43.75,,,,
6,BANKNIFTY25NOV2558600PE,175,BUY,785.2,10/29/2025 9:48,SELL,784.95,10/29/2025 9:48,-43.75,,,,
6,BANKNIFTY25NOV2557600PE,175,BUY,401,10/29/2025 9:48,SELL,400.75,10/29/2025 9:48,-43.75,,,,
7,BANKNIFTY25NOV2557600PE,175,BUY,402,10/29/2025 9:48,SELL,402,10/29/2025 9:48,0,,,,
7,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1314.4,10/29/2025 9:48,0,,,,
7,BANKNIFTY25NOV2558600PE,175,BUY,783.05,10/29/2025 9:48,SELL,788.75,10/29/2025 9:48,997.5,,,,
7,BANKNIFTY25NOV2558600CE,175,BUY,713.25,10/29/2025 9:48,SELL,713.25,10/29/2025 9:48,0,,,,
8,BANKNIFTY25NOV2558600PE,175,BUY,788.75,10/29/2025 9:48,SELL,792.85,10/29/2025 9:48,717.5,,,,
8,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1314.4,10/29/2025 9:48,0,,,,
8,BANKNIFTY25NOV2557600PE,175,BUY,402,10/29/2025 9:48,SELL,402.75,10/29/2025 9:48,131.25,,,,
8,BANKNIFTY25NOV2558600CE,175,BUY,713.25,10/29/2025 9:48,SELL,713,10/29/2025 9:48,-43.75,,,,
9,BANKNIFTY25NOV2558600CE,175,BUY,705.05,10/29/2025 9:48,SELL,704.8,10/29/2025 9:48,-43.75,,,,
9,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1314.4,10/29/2025 9:48,0,,,,
9,BANKNIFTY25NOV2558600PE,175,BUY,793.65,10/29/2025 9:48,SELL,793.65,10/29/2025 9:48,0,,,,
9,BANKNIFTY25NOV2557600PE,175,BUY,402.75,10/29/2025 9:48,SELL,406.5,10/29/2025 9:48,656.25,,,,
10,BANKNIFTY25NOV2557600PE,175,BUY,407.4,10/29/2025 9:48,SELL,407.15,10/29/2025 9:48,-43.75,,,,
10,BANKNIFTY25NOV2558600PE,175,BUY,793.65,10/29/2025 9:48,SELL,793.4,10/29/2025 9:48,-43.75,,,,
10,BANKNIFTY25NOV2557600CE,175,BUY,1314.4,10/29/2025 9:48,SELL,1323.9,10/29/2025 9:48,1662.5,,,,
10,BANKNIFTY25NOV2558600CE,175,BUY,701.55,10/29/2025 9:48,SELL,704.3,10/29/2025 9:48,481.25,,,,
11,BANKNIFTY25NOV2557600CE,175,BUY,1323.9,10/29/2025 9:48,SELL,1323.9,10/29/2025 9:48,0,,,,
11,BANKNIFTY25NOV2558600CE,175,BUY,704.3,10/29/2025 9:48,SELL,708,10/29/2025 9:48,647.5,,,,
11,BANKNIFTY25NOV2557600PE,175,BUY,404.75,10/29/2025 9:48,SELL,404.75,10/29/2025 9:48,0,,,,
11,BANKNIFTY25NOV2558600PE,175,BUY,788.75,10/29/2025 9:48,SELL,788.75,10/29/2025 9:48,0,,,,
12,BANKNIFTY25NOV2557600PE,175,BUY,404.75,10/29/2025 9:49,SELL,405.1,10/29/2025 9:49,61.25,,,,
12,BANKNIFTY25NOV2558600CE,175,BUY,707.75,10/29/2025 9:49,SELL,704.55,10/29/2025 9:49,-560,,,,
12,BANKNIFTY25NOV2557600CE,175,BUY,1323.9,10/29/2025 9:49,SELL,1323.9,10/29/2025 9:49,0,,,,
12,BANKNIFTY25NOV2558600PE,175,BUY,788.75,10/29/2025 9:49,SELL,794.7,10/29/2025 9:49,1041.25,,,,
13,BANKNIFTY25NOV2558600CE,175,BUY,706.45,10/29/2025 9:49,SELL,706.2,10/29/2025 9:49,-43.75,,,,
13,BANKNIFTY25NOV2557600PE,175,BUY,405.1,10/29/2025 9:49,SELL,408.2,10/29/2025 9:49,542.5,,,,
13,BANKNIFTY25NOV2558600PE,175,BUY,794.7,10/29/2025 9:49,SELL,794.45,10/29/2025 9:49,-43.75,,,,
13,BANKNIFTY25NOV2557600CE,175,BUY,1323.9,10/29/2025 9:49,SELL,1323.9,10/29/2025 9:49,0,,,,
14,BANKNIFTY25NOV2558600PE,175,BUY,794.75,10/29/2025 9:49,SELL,794.5,10/29/2025 9:49,-43.75,,,,
14,BANKNIFTY25NOV2557600PE,175,BUY,408.2,10/29/2025 9:49,SELL,407.95,10/29/2025 9:49,-43.75,,,,
14,BANKNIFTY25NOV2557600CE,175,BUY,1323.9,10/29/2025 9:49,SELL,1323.65,10/29/2025 9:50,-43.75,,,,
14,BANKNIFTY25NOV2558600CE,175,BUY,705.25,10/29/2025 9:49,SELL,705,10/29/2025 9:49,-43.75,,,,
15,BANKNIFTY25NOV2558600PE,175,BUY,789.5,10/29/2025 9:50,SELL,789.25,10/29/2025 9:51,-43.75,,,,
15,BANKNIFTY25NOV2557600PE,175,BUY,404.5,10/29/2025 9:50,SELL,404.25,10/29/2025 9:50,-43.75,,,,
15,BANKNIFTY25NOV2557600CE,175,BUY,1319.45,10/29/2025 9:50,SELL,1319.45,10/29/2025 9:51,0,,,,
15,BANKNIFTY25NOV2558600CE,175,BUY,709.95,10/29/2025 9:50,SELL,715.95,10/29/2025 9:51,1050,,,,
16,BANKNIFTY25NOV2557700CE,175,BUY,1239.45,10/29/2025 9:51,SELL,1253.7,10/29/2025 9:51,2493.75,,,,
16,BANKNIFTY25NOV2558700PE,175,BUY,830.2,10/29/2025 9:51,SELL,830.25,10/29/2025 9:51,8.75,,,,
16,BANKNIFTY25NOV2558700CE,175,BUY,667.75,10/29/2025 9:51,SELL,667.75,10/29/2025 9:51,0,,,,
16,BANKNIFTY25NOV2557700PE,175,BUY,426.65,10/29/2025 9:51,SELL,426.65,10/29/2025 9:51,0,,,,
17,BANKNIFTY25NOV2557600PE,175,BUY,397.65,10/29/2025 9:51,SELL,399.35,10/29/2025 9:51,297.5,,,,
17,BANKNIFTY25NOV2558600CE,175,BUY,716.05,10/29/2025 9:51,SELL,715.8,10/29/2025 9:51,-43.75,,,,
17,BANKNIFTY25NOV2557600CE,175,BUY,1319.45,10/29/2025 9:51,SELL,1319.45,10/29/2025 9:51,0,,,,
17,BANKNIFTY25NOV2558600PE,175,BUY,777.85,10/29/2025 9:51,SELL,783.7,10/29/2025 9:51,1023.75,,,,
18,BANKNIFTY25NOV2558600PE,175,BUY,783.7,10/29/2025 9:51,SELL,783.45,10/29/2025 9:51,-43.75,,,,
18,BANKNIFTY25NOV2558600CE,175,BUY,712.9,10/29/2025 9:51,SELL,715.75,10/29/2025 9:51,498.75,,,,
18,BANKNIFTY25NOV2557600CE,175,BUY,1319.45,10/29/2025 9:51,SELL,1339.9,10/29/2025 9:51,3578.75,,,,
18,BANKNIFTY25NOV2557600PE,175,BUY,399.35,10/29/2025 9:51,SELL,399.1,10/29/2025 9:51,-43.75,,,,
19,BANKNIFTY25NOV2557700PE,175,BUY,416.8,10/29/2025 9:51,SELL,416.55,10/29/2025 9:51,-43.75,,,,
19,BANKNIFTY25NOV2557700CE,175,BUY,1266.25,10/29/2025 9:51,SELL,1266.25,10/29/2025 9:51,0,,,,
19,BANKNIFTY25NOV2558700PE,175,BUY,815,10/29/2025 9:51,SELL,815.35,10/29/2025 9:51,61.25,,,,
19,BANKNIFTY25NOV2558700CE,175,BUY,676,10/29/2025 9:51,SELL,678.5,10/29/2025 9:51,437.5,,,,
20,BANKNIFTY25NOV2557700PE,175,BUY,416.95,10/29/2025 9:51,SELL,416.7,10/29/2025 9:52,-43.75,,,,
20,BANKNIFTY25NOV2557700CE,175,BUY,1266.25,10/29/2025 9:51,SELL,1266.25,10/29/2025 9:52,0,,,,
20,BANKNIFTY25NOV2558700CE,175,BUY,678.5,10/29/2025 9:51,SELL,678.25,10/29/2025 9:51,-43.75,,,,
20,BANKNIFTY25NOV2558700PE,175,BUY,815.35,10/29/2025 9:51,SELL,820,10/29/2025 9:52,813.75,,,,
